#Organism Name,Strain,GenBank FTP,RefSeq FTP
"Bacillus coagulans","R11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/946/455/GCA_002946455.1_ASM294645v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/455/GCF_002946455.1_ASM294645v1"
"Mycobacteroides abscessus","NOV0213","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/430/775/GCA_001430775.1_ASM143077v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/430/775/GCF_001430775.1_ASM143077v1"
"Staphylococcus saprophyticus","FDAARGOS_355","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/209/265/GCA_002209265.2_ASM220926v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/265/GCF_002209265.1_ASM220926v2"
"Sulfolobus acidocaldarius","Y14 16-22","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/485/GCA_002215485.1_ASM221548v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/485/GCF_002215485.1_ASM221548v1"
"Bifidobacterium breve JCM 7019","JCM 7019","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/569/015/GCA_000569015.1_ASM56901v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/569/015/GCF_000569015.1_ASM56901v1"
"Mycoplasma fermentans","NCTC10117","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/660/535/GCA_900660535.1_50681_A01-3",
"Listeria ivanovii subsp. ivanovii","NCTC11846","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/025/GCA_900187025.1_49923_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/025/GCF_900187025.1_49923_F01"
"Moraxella catarrhalis","FDAARGOS_304","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/984/125/GCA_002984125.1_ASM298412v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/984/125/GCF_002984125.1_ASM298412v1"
"Enterobacter cloacae","ECNIH5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/905/GCA_000784905.1_ASM78490v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/905/GCF_000784905.1_ASM78490v1"
"Lactobacillus salivarius","DJ-sa-01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/955/GCA_003316955.1_ASM331695v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/316/955/GCF_003316955.1_ASM331695v1"
"Cronobacter sakazakii","CS-09","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/516/105/GCA_003516105.1_ASM351610v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/516/105/GCF_003516105.1_ASM351610v1"
"Klebsiella oxytoca","CAV1015","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/870/185/GCA_001870185.1_ASM187018v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/185/GCF_001870185.1_ASM187018v1"
"Clostridium beijerinckii","WB53","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/129/525/GCA_003129525.1_ASM312952v1",
"Citrobacter koseri","FDAARGOS_530","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/405/GCA_003812405.1_ASM381240v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/405/GCF_003812405.1_ASM381240v1"
"Proteus mirabilis","FDAARGOS_60","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/015/GCA_000784015.2_ASM78401v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/015/GCF_000784015.2_ASM78401v2"
"Mycoplasma bovis","HB0801-P115","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/865/GCA_001611865.1_ASM161186v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/865/GCF_001611865.1_ASM161186v1"
"Campylobacter lari RM16712","RM16712","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/425/GCA_000816425.1_ASM81642v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/425/GCF_000816425.1_ASM81642v1"
"Staphylococcus haemolyticus","FDAARGOS_517","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/956/005/GCA_003956005.1_ASM395600v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/956/005/GCF_003956005.1_ASM395600v1"
"Campylobacter coli RM5611","RM5611","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/795/GCA_000583795.1_ASM58379v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/583/795/GCF_000583795.1_ASM58379v1"
"Burkholderia vietnamiensis","FDAARGOS_239","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/019/945/GCA_003019945.1_ASM301994v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/945/GCF_003019945.1_ASM301994v1"
"Cutibacterium acnes TypeIA2 P.acn33","P.acn33","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/015/GCA_000240015.1_ASM24001v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/015/GCF_000240015.1_ASM24001v1"
"Mesoplasma florum","CnuA-2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/999/275/GCA_002999275.1_ASM299927v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/999/275/GCF_002999275.1_ASM299927v1"
"Burkholderia sp. RPE67","RPE67","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/875/GCA_000828875.1_ASM82887v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/875/GCF_000828875.1_ASM82887v1"
"Mycoplasma gallisepticum NC95_13295-2-2P","NC95_13295-2-2P","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/286/695/GCA_000286695.1_ASM28669v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/286/695/GCF_000286695.1_ASM28669v1"
"Serratia marcescens","RSC-14","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/365/GCA_001280365.1_ASM128036v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/365/GCF_001280365.1_ASM128036v1"
"Lactobacillus brevis","TMW 1.2108","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/345/GCA_002117345.1_ASM211734v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/345/GCF_002117345.1_ASM211734v1"
"Pediococcus pentosaceus","KCCM 40703","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/155/GCA_002982155.1_ASM298215v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/155/GCF_002982155.1_ASM298215v1"
"Lactobacillus plantarum 16","16","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/205/GCA_000412205.1_ASM41220v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/205/GCF_000412205.1_ASM41220v1"
"Mannheimia haemolytica D171","D171","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/275/GCA_000427275.1_ASM42727v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/275/GCF_000427275.1_ASM42727v1"
"Lactobacillus acidophilus","DSM 20079","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/047/065/GCA_003047065.1_ASM304706v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/047/065/GCF_003047065.1_ASM304706v1"
"Chlamydia abortus","1B_cevac","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/515/GCA_900002515.1_1BCEVAC","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/515/GCF_900002515.1_1BCEVAC"
"Leuconostoc mesenteroides subsp. jonggajibkimchii","DRC1506","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/915/GCA_001886915.1_ASM188691v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/915/GCF_001886915.1_ASM188691v1"
"Methanosarcina mazei C16","C16","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/245/GCA_000970245.1_ASM97024v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/245/GCF_000970245.1_ASM97024v1"
"Chlamydia muridarum str. Nigg3 CMUT3-5","Nigg3 CMUT3-5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/945/GCA_000830945.1_ASM83094v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/945/GCF_000830945.1_ASM83094v1"
"Dehalococcoides mccartyi GT","GT","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/585/GCA_000025585.1_ASM2558v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/585/GCF_000025585.1_ASM2558v1"
"Yersinia enterocolitica","2516-87","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/735/GCA_000834735.1_ASM83473v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/735/GCF_000834735.1_ASM83473v1"
"Thermotoga maritima","Tma100","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/575/GCA_000978575.1_ASM97857v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/978/575/GCF_000978575.1_ASM97857v1"
"Methanosarcina barkeri CM1","CM1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/005/GCA_001027005.1_ASM102700v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/005/GCF_001027005.1_ASM102700v1"
"Mycolicibacterium smegmatis","INHR2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/705/GCA_000767705.1_ASM76770v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/705/GCF_000767705.1_ASM76770v1"
"Mycoplasma pneumoniae M129-B7","M129-B7","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/085/GCA_000331085.2_ASM33108v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/085/GCF_000331085.3_ASM33108v2"
"Corynebacterium diphtheriae BH8","BH8","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/935/GCA_000241935.1_ASM24193v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/241/935/GCF_000241935.1_ASM24193v1"
"Streptococcus gordonii","NCTC7865","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/015/GCA_900475015.1_41975_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/015/GCF_900475015.1_41975_E01"
"Bordetella pertussis 137","137","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/165/GCA_000812165.1_ASM81216v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/165/GCF_000812165.1_ASM81216v1"
"[Haemophilus] ducreyi","VAN5","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/795/GCA_001647795.1_ASM164779v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/795/GCF_001647795.1_ASM164779v1"
"Bordetella parapertussis","A747","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/186/265/GCA_003186265.1_ASM318626v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/186/265/GCF_003186265.1_ASM318626v1"
"Sinorhizobium meliloti GR4","GR4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/385/GCA_000320385.2_ASM32038v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/385/GCF_000320385.2_ASM32038v2"
"Bordetella bronchiseptica","I328","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/355/GCA_001704355.1_ASM170435v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/355/GCF_001704355.1_ASM170435v1"
"Providencia stuartii","FDAARGOS_291","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/983/665/GCA_002983665.1_ASM298366v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/983/665/GCF_002983665.1_ASM298366v1"
"Bacillus megaterium NCT-2","NCT-2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/334/875/GCA_000334875.2_ASM33487v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/875/GCF_000334875.2_ASM33487v2"
"Caulobacter vibrioides","CB1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/310/455/GCA_002310455.2_ASM231045v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/310/455/GCF_002310455.2_ASM231045v2"
"Brucella melitensis bv. 3 str. Ether","ether","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/355/GCA_000740355.1_ASM74035v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/355/GCF_000740355.1_ASM74035v1"
"Francisella philomiragia","GA01-2801","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/315/GCA_000833315.1_ASM83331v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/315/GCF_000833315.1_ASM83331v1"
"Lactobacillus rhamnosus LOCK908","LOCK908","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/495/GCA_000418495.1_ASM41849v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/495/GCF_000418495.1_ASM41849v1"
"Pasteurella multocida subsp. multocida str. HB03","HB03","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/395/GCA_000512395.1_ASM51239v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/395/GCF_000512395.1_ASM51239v1"
"Acetobacter pasteurianus IFO 3283-32","IFO 3283 substr. IFO 3283-32","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/925/GCA_000010925.1_ASM1092v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/925/GCF_000010925.1_ASM1092v1"
"Saccharolobus solfataricus","SULA","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/435/GCA_000968435.1_ASM96843v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/435/GCF_000968435.1_ASM96843v1"
"Glaesserella parasuis 29755","29755","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/286/935/GCA_003286935.1_ASM328693v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/935/GCF_003286935.1_ASM328693v1"
"Streptococcus equi subsp. zooepidemicus","NCTC12090","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/875/GCA_900474875.1_41851_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/875/GCF_900474875.1_41851_B01"
"Zymomonas mobilis subsp. mobilis NRRL B-12526","NRRL B-12526","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/576/125/GCA_000576125.1_ASM57612v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/576/125/GCF_000576125.1_ASM57612v1"
"Bifidobacterium bifidum","PRI 1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/845/845/GCA_002845845.1_ASM284584v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/845/845/GCF_002845845.1_ASM284584v1"
"Stenotrophomonas maltophilia","ISMMS2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/274/655/GCA_001274655.1_ASM127465v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/274/655/GCF_001274655.1_ASM127465v1"
"Alteromonas macleodii","HOT1A3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/515/GCA_001578515.1_ASM157851v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/515/GCF_001578515.1_ASM157851v1"
"Neisseria gonorrhoeae","35/02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/047/275/GCA_001047275.1_ASM104727v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/047/275/GCF_001047275.1_ASM104727v1"
"Enterococcus faecium","64/3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/298/485/GCA_001298485.1_ASM129848v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/485/GCF_001298485.1_ASM129848v1"
"Streptococcus mutans","NG8","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/215/GCA_001558215.1_ASM155821v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/215/GCF_001558215.1_ASM155821v1"
"Bacillus amyloliquefaciens Y2","Y2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/385/GCA_000262385.1_ASM26238v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/385/GCF_000262385.1_ASM26238v1"
"Bifidobacterium animalis subsp. lactis BLC1","BLC1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/965/GCA_000224965.2_ASM22496v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/965/GCF_000224965.2_ASM22496v2"
"Chlamydia psittaci 08DC60","08DC60","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/445/GCA_000270445.1_ASM27044v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/445/GCF_000270445.1_ASM27044v1"
"Rhizobium etli","NXC12","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/119/845/GCA_002119845.1_ASM211984v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/845/GCF_002119845.1_ASM211984v1"
"Streptococcus dysgalactiae subsp. equisimilis","NCTC5370","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/785/GCA_900474785.1_41767_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/785/GCF_900474785.1_41767_C01"
"Klebsiella pneumoniae subsp. pneumoniae KPNIH1","KPNIH1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/535/GCA_000281535.2_ASM28153v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/535/GCF_000281535.2_ASM28153v2"
"Enterococcus faecalis str. Symbioflor 1","Symbioflor 1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/915/GCA_000317915.1_ASM31791v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/915/GCF_000317915.1_ASM31791v1"
"Brucella suis bv. 2","PT09143","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/245/GCA_000698245.1_ASM69824v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/245/GCF_000698245.1_ASM69824v1"
"Brucella canis","2010009751","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/715/405/GCA_001715405.1_ASM171540v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/715/405/GCF_001715405.1_ASM171540v1"
"Rhizobium leguminosarum bv. trifolii CB782","CB782","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/875/GCA_000520875.1_ASM52087v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/875/GCF_000520875.1_ASM52087v1"
"Rickettsia prowazekii str. GvV257","GvV257","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/245/GCA_000277245.1_ASM27724v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/245/GCF_000277245.1_ASM27724v1"
"Borreliella burgdorferi","PAli","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/465/GCA_002151465.1_ASM215146v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1"
"Burkholderia multivorans","MSMB1640WGS","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/995/GCA_001718995.1_ASM171899v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/995/GCF_001718995.1_ASM171899v1"
"Clostridium botulinum F str. Langeland","Langeland","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/065/GCA_000017065.1_ASM1706v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/065/GCF_000017065.1_ASM1706v1"
"Phaeobacter gallaeciensis","P128","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/381/365/GCA_002381365.1_ASM238136v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/381/365/GCF_002381365.1_ASM238136v1"
"Burkholderia thailandensis USAMRU Malaysia #20","USAMRU Malaysia #20","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/745/GCA_000706745.1_ASM70674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/745/GCF_000706745.1_ASM70674v1"
"Mycoplasma mycoides subsp. mycoides","izsam_mm5713","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/785/GCA_000800785.1_ASM80078v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/785/GCF_000800785.1_ASM80078v1"
"Ureaplasma parvum","hebnu1229","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/205/595/GCA_002205595.1_ASM220559v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/205/595/GCF_002205595.1_ASM220559v1"
"Porphyromonas gingivalis 381","381","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/265/GCA_001314265.1_ASM131426v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/265/GCF_001314265.1_ASM131426v1"
"Lactobacillus fermentum","SNUV175","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/785/GCA_001941785.1_ASM194178v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/785/GCF_001941785.1_ASM194178v1"
"Orientia tsutsugamushi","Kato","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/327/265/GCA_900327265.1_Kato","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/327/265/GCF_900327265.1_Kato"
"Sulfolobus islandicus REY15A","REY15A","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/555/GCA_000189555.1_ASM18955v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/555/GCF_000189555.1_ASM18955v1"
"Methylorubrum extorquens","TK 0001","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/234/795/GCA_900234795.1_TK0001_PRJEB23178_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/234/795/GCF_900234795.1_TK0001_PRJEB23178_v1"
"Vibrio parahaemolyticus","10329","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/185/GCA_001188185.2_ASM118818v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/188/185/GCF_001188185.2_ASM118818v2"
"Bifidobacterium adolescentis","P2P3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/856/735/GCA_003856735.1_ASM385673v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/856/735/GCF_003856735.1_ASM385673v1"
"Rickettsia rickettsii str. Hlp#2","Hlp#2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/935/GCA_000283935.1_ASM28393v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/935/GCF_000283935.1_ASM28393v1"
"Methanococcus maripaludis KA1","KA1 (= NBRC 102054)","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/535/GCA_000828535.1_ASM82853v1",
"Lactobacillus helveticus H9","H9","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/525/715/GCA_000525715.1_ASM52571v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/525/715/GCF_000525715.1_ASM52571v1"
"Bacillus subtilis subsp. subtilis str. RO-NN-1","RO-NN-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/485/GCA_000227485.1_ASM22748v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/485/GCF_000227485.1_ASM22748v1"
"Lactobacillus casei","CECT 9104","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/492/555/GCA_900492555.1_CECT9104","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/492/555/GCF_900492555.1_CECT9104"
"Coxiella burnetii 'MSU Goat Q177'","MSU Goat Q177","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/875/GCA_000168875.3_ASM16887v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/875/GCF_000168875.3_ASM16887v3"
"Aeromonas salmonicida subsp. masoucida","RFAS1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/313/065/GCA_002313065.1_ASM231306v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/313/065/GCF_002313065.1_ASM231306v1"
"Clostridioides difficile ATCC 9689 = DSM 1296","ATCC 9689 = DSM 1296","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/535/GCA_001077535.2_ASM107753v2",
"Xanthomonas oryzae pv. oryzae PXO86","PXO86","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/948/075/GCA_000948075.1_ASM94807v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/948/075/GCF_000948075.1_ASM94807v1"
"Campylobacter fetus subsp. venerealis str. 84-112","84-112","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/135/GCA_000967135.1_CFV","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/135/GCF_000967135.1_CFV"
"Xanthomonas citri subsp. citri UI6","UI6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/961/175/GCA_000961175.1_ASM96117v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/961/175/GCF_000961175.1_ASM96117v1"
"Mycoplasma capricolum subsp. capripneumoniae","type strain: F38 = NCTC 10192","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/375/GCA_000953375.1_F38.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/375/GCF_000953375.1_F38.1"
"Brucella abortus","BER","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/740/155/GCA_000740155.1_ASM74015v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/155/GCF_000740155.1_ASM74015v1"
